stopword
a
af
af1
afp
agency
al
announcer
apr
april
area
areas
article
aug
august
b
bbc
bbc mon nf newsfile
bbc monitoring research
briefing
british
british broadcasting corporation
broadcasting
c
carried
carries
carry
carrying
cent
cite
cited
citing
column
come
comment
commented
commenting
commercial
commercials
corporation
correspondent
country
d
daily
day
december
dev
district
dollar
dollars
e
english
eu1
europol
excerpt
excerpts
f
feb
g
gb
gen
gmt
great
greatly
h
ha
head
headline
headlines
helicopter
highlights
hyperlink
i
internet
interview
introduce
j
jan
january
jul
juli
jun
june
k
know
knowing
known
l
la
la1
listed
local
m
main
maj
mar
march
may
media
min
mins
mon
monitoring
n
new
news
newsfile
newspaper
nf
noted
notes
nov
november
number
o
oct
october
official
officials
online
p
page
paper
people
pk
presenter
press
programme
promotion
publish
published
publishes
publishing
q
quote
quotes
r
radio
read
region
regional
report
reported
reports
review
reviews
rig
s
said
satellite
say
saying
says
season
section
senior
sep
september
show
showed
showing
shown
shows
significant
site
sites
source
sources
spanish
special
sport
state
statement
summaries
summary
t
take
television
tell
text
think
thinks
time
today
top
town
translate
translated
tv
url
video
video show
village
w
want
web
website
websites
weekend
word
wording
words
write
writes
writing
written
x
y
year
yesterday
z
